timestamp,event,strategy_key,base_symbol,symbol,call_symbol,put_symbol,price_call,price_put,combined_price,target_pct,stop_pct,target_abs,stop_abs,details,ce_request,ce_response,pe_request,pe_response
2026-03-05T13:43:22,NO_STRIKE_IN_RANGE,NSE:NIFTY26MARFUT|WEEKLY|10-03-2026,NIFTY,NSE:NIFTY26MARFUT,,,,,,,,,,"No strike in premium range [190.0, 195.0] for NIFTY. Missing: no CE, no PE. Waiting for LTP in range.",,,,
2026-03-05T13:43:22,NO_STRIKE_IN_RANGE,BSE:SENSEX26MARFUT|WEEKLY|05-03-2026,SENSEX,BSE:SENSEX26MARFUT,,,,,,,,,,"No strike in premium range [85.0, 90.0] for SENSEX. Missing: no CE, no PE. Waiting for LTP in range.",,,,
2026-03-05T13:44:22,NO_STRIKE_IN_RANGE,NSE:NIFTY26MARFUT|WEEKLY|10-03-2026,NIFTY,NSE:NIFTY26MARFUT,,,,,,,,,,"No strike in premium range [190.0, 195.0] for NIFTY. Missing: no CE. Waiting for LTP in range.",,,,
2026-03-05T13:44:22,NO_STRIKE_IN_RANGE,BSE:SENSEX26MARFUT|WEEKLY|05-03-2026,SENSEX,BSE:SENSEX26MARFUT,,,,,,,,,,"No strike in premium range [85.0, 90.0] for SENSEX. Missing: no CE, no PE. Waiting for LTP in range.",,,,
2026-03-05T13:45:23,NO_STRIKE_IN_RANGE,NSE:NIFTY26MARFUT|WEEKLY|10-03-2026,NIFTY,NSE:NIFTY26MARFUT,,,,,,,,,,"No strike in premium range [190.0, 195.0] for NIFTY. Missing: no CE. Waiting for LTP in range.",,,,
2026-03-05T13:45:23,NO_STRIKE_IN_RANGE,BSE:SENSEX26MARFUT|WEEKLY|05-03-2026,SENSEX,BSE:SENSEX26MARFUT,,,,,,,,,,"No strike in premium range [85.0, 90.0] for SENSEX. Missing: no CE, no PE. Waiting for LTP in range.",,,,
2026-03-05T13:46:24,NO_STRIKE_IN_RANGE,NSE:NIFTY26MARFUT|WEEKLY|10-03-2026,NIFTY,NSE:NIFTY26MARFUT,,,,,,,,,,"No strike in premium range [190.0, 195.0] for NIFTY. Missing: no CE, no PE. Waiting for LTP in range.",,,,
2026-03-05T13:46:24,NO_STRIKE_IN_RANGE,BSE:SENSEX26MARFUT|WEEKLY|05-03-2026,SENSEX,BSE:SENSEX26MARFUT,,,,,,,,,,"No strike in premium range [85.0, 90.0] for SENSEX. Missing: no PE. Waiting for LTP in range.",,,,
2026-03-05T13:47:24,NO_STRIKE_IN_RANGE,NSE:NIFTY26MARFUT|WEEKLY|10-03-2026,NIFTY,NSE:NIFTY26MARFUT,,,,,,,,,,"No strike in premium range [190.0, 195.0] for NIFTY. Missing: no CE. Waiting for LTP in range.",,,,
2026-03-05T13:47:24,NO_STRIKE_IN_RANGE,BSE:SENSEX26MARFUT|WEEKLY|05-03-2026,SENSEX,BSE:SENSEX26MARFUT,,,,,,,,,,"No strike in premium range [85.0, 90.0] for SENSEX. Missing: no CE, no PE. Waiting for LTP in range.",,,,
